period,zodiac_id,zodiac_name,special_num
2026001,6,牛,29
2026002,11,猴,22
2026003,10,鸡,9
2026004,10,鸡,45
2026005,8,猪,43
2026006,2,蛇,13
2026007,6,牛,41
2026008,10,鸡,21
2026009,5,虎,28
2026010,4,兔,27
2026011,12,羊,11
2026012,12,羊,11
2026013,2,蛇,1
2026014,3,龙,26
2026015,8,猪,31
2026016,7,鼠,6
2026017,9,狗,32
2026018,4,兔,39
2026019,11,猴,46
2026020,1,马,12
2026021,7,鼠,42
2026022,7,鼠,18
2026023,12,羊,47
2026024,5,虎,28
2026025,2,蛇,37
2026026,8,猪,19
2026027,10,鸡,45
2026028,4,兔,3
2026029,2,蛇,1
2026030,6,牛,41
2026031,3,龙,26
2026032,7,鼠,6
2026033,6,牛,41
2026034,8,猪,19
2026035,4,兔,27
2026036,2,蛇,1
2026037,8,猪,43
2026038,7,鼠,42
2026039,12,羊,11
2026040,5,虎,28
2026041,1,马,36
2026042,5,虎,16
2026043,2,蛇,13
2026044,8,猪,19
2026045,2,蛇,1
2026046,4,兔,3
2026047,4,兔,39
2026048,12,羊,24
2026049,1,马,13
2026050,11,猴,23
2026051,1,马,1
2026052,2,蛇,38
2026053,3,龙,15
2026054,12,羊,48
2026055,2,蛇,14
2026056,12,羊,48
2026057,11,猴,23
2026058,7,鼠,31
2026059,10,鸡,10
2026060,9,狗,9
2026061,5,虎,29
2026062,12,羊,24
2026063,4,兔,28
2026064,6,牛,18
2026065,5,虎,5
2026066,1,马,37
2026067,5,虎,5
2026068,11,猴,23
2026069,12,羊,24
2026070,1,马,25
2026071,12,羊,48
2026072,10,鸡,46
2026073,10,鸡,34
2026074,10,鸡,10
2026075,9,狗,33
2026076,2,蛇,2
2026077,5,虎,29
2026078,10,鸡,46
2026079,11,猴,35
2026080,3,龙,3
2026081,5,虎,17
2026082,3,龙,27
2026083,5,虎,5
2026084,4,兔,16
2026085,7,鼠,19
2026086,12,羊,12
2026087,2,蛇,26
2026088,3,龙,27
2026089,1,马,49
2026090,12,羊,36
2026091,1,马,37
2026092,6,牛,6
2026093,4,兔,40
2026094,5,虎,17
2026095,11,猴,35
2026096,7,鼠,43
2026097,11,猴,11
2026098,5,虎,17
2026099,12,羊,12
2026100,9,狗,33
2026101,3,龙,39
2026102,8,猪,20
2026103,6,牛,6
2026104,1,马,1
2026105,4,兔,28
2026106,10,鸡,22
2026107,1,马,49
2026108,9,狗,45
2026109,4,兔,16
2026110,6,牛,30
